lat,lon,FD,ID,RR1,TN,TX
-50.25,-69.25,1.0,0.0,4.0,282.77142,297.9334
-50.25,-68.75,1.0,0.0,4.0,283.31265,298.08405
-50.25,-68.25,0.0,0.0,2.0,283.26843,297.3568
-49.75,-75.75,0.0,0.0,4.0,281.07596,288.18765
-49.75,-75.25,1.0,0.0,5.0,280.57755,288.47662
-49.75,-74.75,1.0,0.0,4.0,279.51788,288.43317
-49.75,-74.25,1.0,0.0,2.0,279.83725,289.69046
-49.75,-73.75,1.0,0.0,2.0,276.97586,288.10944
-49.75,-73.25,2.0,0.0,2.0,275.9997,288.1634
-49.75,-72.75,1.0,0.0,2.0,279.59528,292.5733
-49.75,-72.25,1.0,0.0,2.0,281.10358,294.9064
-49.75,-71.75,1.0,0.0,2.0,280.75034,295.21906
-49.75,-71.25,1.0,0.0,2.0,281.02725,295.95993
-49.75,-70.75,1.0,0.0,3.0,281.368,296.7651
-49.75,-70.25,1.0,0.0,4.0,282.1712,297.88086
-49.75,-69.75,1.0,0.0,4.0,283.16168,298.96188
-49.75,-69.25,1.0,0.0,4.0,283.43903,299.0792
-49.75,-68.75,1.0,0.0,4.0,283.65533,299.04672
-49.75,-68.25,0.0,0.0,4.0,283.41833,298.33835
-49.75,-67.75,0.0,0.0,4.0,283.47543,297.76105
-49.75,-67.25,0.0,0.0,2.0,283.12256,296.8699
-49.75,68.75,1.0,0.0,3.0,276.31436,282.7082
-49.75,69.25,2.0,0.0,3.0,275.4778,282.0385
-49.75,69.75,1.0,0.0,3.0,275.83853,282.31036
-49.75,70.25,0.0,0.0,3.0,276.80255,282.9914
-49.75,178.75,0.0,0.0,4.0,280.36237,288.14755
-49.25,-75.75,0.0,0.0,6.0,281.02496,288.27835
-49.25,-75.25,1.0,0.0,5.0,280.26086,288.3998
-49.25,-74.75,1.0,0.0,5.0,279.31955,288.42737
-49.25,-74.25,1.0,0.0,2.0,279.94122,290.0415
-49.25,-73.75,1.0,0.0,2.0,277.10495,288.40424
-49.25,-73.25,2.0,0.0,2.0,276.02924,288.3072
-49.25,-72.75,1.0,0.0,2.0,279.36224,292.37576
-49.25,-72.25,1.0,0.0,2.0,279.63776,293.48944
-49.25,-71.75,1.0,0.0,2.0,280.5987,295.10092
-49.25,-71.25,1.0,0.0,2.0,281.505,296.61063
-49.25,-70.75,1.0,0.0,3.0,283.0628,298.68845
-49.25,-70.25,1.0,0.0,4.0,283.36865,299.3491
-49.25,-69.75,1.0,0.0,4.0,283.43085,299.62015
-49.25,-69.25,1.0,0.0,4.0,283.75372,299.71982
-49.25,-68.75,1.0,0.0,4.0,283.55472,299.34927
-49.25,-68.25,1.0,0.0,4.0,283.6053,299.0409
-49.25,-67.75,0.0,0.0,4.0,283.29297,298.21143
-49.25,-67.25,0.0,0.0,3.0,283.19034,297.57642
-49.25,68.75,0.0,0.0,4.0,277.18243,282.49933
-49.25,69.25,1.0,0.0,4.0,275.68817,281.31818
-49.25,69.75,0.0,0.0,3.0,277.44876,282.5136
-49.25,70.25,0.0,0.0,3.0,277.54462,282.50867
-48.75,-75.75,1.0,0.0,5.0,280.34464,287.94287
-48.75,-75.25,1.0,0.0,5.0,280.2383,288.4743
-48.75,-74.75,1.0,0.0,6.0,280.383,289.46017
-48.75,-74.25,1.0,0.0,4.0,280.10892,290.16687
-48.75,-73.75,1.0,0.0,4.0,277.66077,288.9665
-48.75,-73.25,2.0,0.0,3.0,277.16342,289.455
-48.75,-72.75,1.0,0.0,4.0,279.67157,292.6544
-48.75,-72.25,1.0,0.0,4.0,278.6928,292.6292
-48.75,-71.75,1.0,0.0,4.0,279.23593,293.93793
-48.75,-71.25,1.0,0.0,4.0,280.871,296.06577
-48.75,-70.75,1.0,0.0,3.0,283.40366,299.21768
-48.75,-70.25,1.0,0.0,3.0,284.58115,300.85526
-48.75,-69.75,1.0,0.0,3.0,283.2029,299.68185
-48.75,-69.25,1.0,0.0,3.0,283.0783,299.47195
-48.75,-68.75,1.0,0.0,4.0,283.2458,299.33188
-48.75,-68.25,1.0,0.0,4.0,283.51453,299.24
-48.75,-67.75,0.0,0.0,3.0,283.88657,299.07605
-48.75,-67.25,0.0,0.0,3.0,284.2602,298.91547
-48.75,-66.75,0.0,0.0,2.0,284.0662,298.08344
-48.75,68.75,0.0,0.0,3.0,277.11588,283.57745
-48.75,69.25,0.0,0.0,4.0,277.47498,282.73068
-48.25,-75.25,1.0,0.0,5.0,280.84964,289.06805
-48.25,-74.75,1.0,0.0,7.0,280.7636,289.82996
-48.25,-74.25,1.0,0.0,5.0,280.06705,290.07782
-48.25,-73.75,1.0,0.0,5.0,279.54306,290.5294
-48.25,-73.25,1.0,0.0,5.0,278.84424,290.867
-48.25,-72.75,1.0,0.0,5.0,279.1711,292.0467
-48.25,-72.25,1.0,0.0,4.0,279.54498,293.28693
-48.25,-71.75,1.0,0.0,4.0,280.36774,294.883
-48.25,-71.25,1.0,0.0,4.0,281.55133,296.68726
-48.25,-70.75,1.0,0.0,3.0,284.108,299.9189
-48.25,-70.25,1.0,0.0,3.0,282.6027,298.9946
-48.25,-69.75,1.0,0.0,3.0,282.03003,298.66718
-48.25,-69.25,1.0,0.0,3.0,283.02582,299.52545
-48.25,-68.75,1.0,0.0,3.0,283.2916,299.48196
-48.25,-68.25,0.0,0.0,3.0,283.87885,299.72662
-48.25,-67.75,0.0,0.0,3.0,284.241,299.61032
-48.25,-67.25,0.0,0.0,4.0,284.09134,299.0045
-48.25,-66.75,0.0,0.0,4.0,283.90955,298.2709
-48.25,-66.25,0.0,0.0,2.0,283.75314,297.5605
-47.75,-75.25,1.0,0.0,7.0,280.79968,288.8172
-47.75,-74.75,1.0,0.0,5.0,281.52063,290.29352
-47.75,-74.25,1.0,0.0,5.0,280.53238,290.38275
-47.75,-73.75,1.0,0.0,5.0,279.53806,290.39728
-47.75,-73.25,1.0,0.0,5.0,278.53555,290.4262
-47.75,-72.75,1.0,0.0,5.0,278.67535,291.47235
-47.75,-72.25,1.0,0.0,4.0,278.61063,292.3097
-47.75,-71.75,1.0,0.0,4.0,279.96994,294.3421
-47.75,-71.25,1.0,0.0,4.0,281.50372,296.4438
-47.75,-70.75,1.0,0.0,3.0,282.6503,298.1567
-47.75,-70.25,1.0,0.0,3.0,282.28925,298.37906
-47.75,-69.75,1.0,0.0,3.0,282.0791,298.54346
-47.75,-69.25,1.0,0.0,3.0,282.0891,298.5957
-47.75,-68.75,1.0,0.0,3.0,282.8863,299.19067
-47.75,-68.25,0.0,0.0,3.0,283.93552,299.8082
-47.75,-67.75,0.0,0.0,3.0,284.74234,300.18512
-47.75,-67.25,0.0,0.0,4.0,284.37723,299.4135
-47.75,-66.75,0.0,0.0,4.0,283.9404,298.4081
-47.75,-66.25,0.0,0.0,2.0,283.67218,297.5523
-47.75,-65.75,0.0,0.0,2.0,283.46796,296.6623
-47.25,-74.25,1.0,0.0,5.0,280.57617,290.1861
-47.25,-73.75,1.0,0.0,5.0,277.42844,288.43732
-47.25,-73.25,2.0,0.0,5.0,276.81104,288.8193
-47.25,-72.75,1.0,0.0,5.0,280.19437,292.64285
-47.25,-72.25,1.0,0.0,4.0,280.83038,294.0303
-47.25,-71.75,1.0,0.0,4.0,280.94717,295.03937
-47.25,-71.25,1.0,0.0,4.0,282.15353,296.8825
-47.25,-70.75,0.0,0.0,1.0,283.2644,298.51715
-47.25,-70.25,1.0,0.0,1.0,282.65247,298.6471
-47.25,-69.75,0.0,0.0,1.0,282.97028,299.19937
-47.25,-69.25,0.0,0.0,2.0,283.4876,299.861
-47.25,-68.75,0.0,0.0,2.0,284.2123,300.3853
-47.25,-68.25,0.0,0.0,2.0,284.71704,300.56458
-47.25,-67.75,0.0,0.0,2.0,285.12173,300.62256
-47.25,-67.25,0.0,0.0,2.0,284.73163,299.827
-47.25,-66.75,0.0,0.0,2.0,284.36017,298.85657
-47.25,-66.25,0.0,0.0,2.0,283.84393,297.68134
-47.25,-65.75,0.0,0.0,1.0,283.37762,296.42365
-47.25,167.75,0.0,0.0,7.0,283.66727,288.05893
-47.25,168.25,0.0,0.0,7.0,281.27902,290.5877
-46.75,-75.75,0.0,0.0,7.0,278.98044,286.72107
-46.75,-75.25,0.0,0.0,6.0,281.51947,289.10394
-46.75,-74.75,0.0,0.0,6.0,281.61356,290.00677
-46.75,-74.25,0.0,0.0,6.0,282.10028,291.28976
-46.75,-73.75,1.0,0.0,5.0,278.67584,289.3731
-46.75,-73.25,3.0,0.0,5.0,276.32526,288.36432
-46.75,-72.75,1.0,0.0,4.0,279.97873,292.28986
-46.75,-72.25,1.0,0.0,4.0,279.22714,292.67743
-46.75,-71.75,1.0,0.0,2.0,279.97662,294.14038
-46.75,-71.25,1.0,0.0,1.0,281.24182,295.91153
-46.75,-70.75,0.0,0.0,1.0,283.1751,298.22455
-46.75,-70.25,0.0,0.0,1.0,283.74548,299.39044
-46.75,-69.75,0.0,0.0,1.0,284.22095,300.2367
-46.75,-69.25,0.0,0.0,2.0,284.54178,300.7488
-46.75,-68.75,0.0,0.0,2.0,285.57294,301.6688
-46.75,-68.25,0.0,0.0,2.0,285.32507,301.18433
-46.75,-67.75,0.0,0.0,2.0,285.42816,300.98148
-46.75,-67.25,0.0,0.0,1.0,285.55698,300.67755
-46.75,37.75,0.0,0.0,7.0,276.21127,280.81082
-46.75,51.75,0.0,0.0,4.0,277.38617,282.1551
-46.75,167.75,0.0,0.0,7.0,282.68106,289.95367
-46.75,168.25,0.0,0.0,7.0,283.18573,290.21606
-46.75,168.75,0.0,0.0,8.0,281.88287,291.3317
-46.75,169.25,0.0,0.0,9.0,281.30002,291.0779
-46.75,169.75,0.0,0.0,8.0,281.6717,291.19687
-46.25,-75.25,0.0,0.0,6.0,281.29312,288.78375
-46.25,-74.75,0.0,0.0,6.0,280.40784,288.82965
-46.25,-74.25,0.0,0.0,6.0,280.87924,290.1272
-46.25,-73.75,0.0,0.0,6.0,281.00754,291.22372
-46.25,-73.25,1.0,0.0,5.0,280.18988,291.44968
-46.25,-72.75,1.0,0.0,5.0,278.08487,290.68683
-46.25,-72.25,1.0,0.0,4.0,278.47363,291.89276
-46.25,-71.75,1.0,0.0,3.0,280.67853,294.52838
-46.25,-71.25,0.0,0.0,2.0,282.01837,296.51556
-46.25,-70.75,0.0,0.0,2.0,282.28815,297.48203
-46.25,-70.25,0.0,0.0,1.0,283.47217,299.24872
-46.25,-69.75,0.0,0.0,2.0,283.90512,300.07196
-46.25,-69.25,0.0,0.0,2.0,284.5904,300.96112
-46.25,-68.75,0.0,0.0,2.0,284.58984,300.97513
-46.25,-68.25,0.0,0.0,2.0,285.4953,301.53754
-46.25,-67.75,0.0,0.0,1.0,285.9906,301.59406
-46.25,51.75,0.0,0.0,5.0,277.72772,282.36887
-46.25,166.75,0.0,0.0,6.0,282.20175,289.29083
-46.25,167.25,0.0,0.0,6.0,281.5563,290.40228
-46.25,167.75,0.0,0.0,6.0,281.25165,291.69354
-46.25,168.25,0.0,0.0,7.0,281.19125,292.11578
-46.25,168.75,0.0,0.0,8.0,281.19135,292.45703
-46.25,169.25,0.0,0.0,8.0,280.79553,291.7862
-46.25,169.75,0.0,0.0,6.0,281.29605,292.2739
-46.25,170.25,0.0,0.0,5.0,281.96344,291.57574
-45.75,-74.75,0.0,0.0,6.0,281.2741,289.42114
-45.75,-74.25,0.0,0.0,6.0,281.20135,290.40338
-45.75,-73.75,0.0,0.0,6.0,283.1812,293.14996
-45.75,-73.25,1.0,0.0,5.0,279.3948,290.7874
-45.75,-72.75,1.0,0.0,5.0,278.82465,291.36148
-45.75,-72.25,1.0,0.0,5.0,279.74728,293.10745
-45.75,-71.75,1.0,0.0,4.0,279.6434,293.91205
-45.75,-71.25,1.0,0.0,3.0,280.6858,295.6493
-45.75,-70.75,0.0,0.0,2.0,282.1574,297.76904
-45.75,-70.25,0.0,0.0,2.0,283.4345,299.51996
-45.75,-69.75,0.0,0.0,2.0,283.2794,299.84097
-45.75,-69.25,0.0,0.0,2.0,284.34103,301.03766
-45.75,-68.75,0.0,0.0,2.0,284.9676,301.4956
-45.75,-68.25,0.0,0.0,2.0,285.02145,301.31436
-45.75,-67.75,0.0,0.0,1.0,285.27737,301.05832
-45.75,-67.25,0.0,0.0,1.0,284.38522,300.79272
